faf_state,faf_zone,border_state_1,border_state_2,faf_country,lane_count,capacity,unit_cost,transit_days,reliability,capacity_share,capacity_share_pct
PA,421,PA,DE,USA,22,663.16054731401,0.21930913017755674,1.0,0.1779616115849061,0.0015148751851401367,0.15148751851401368
AL,12,FL,AL,USA,7,661.0232633,0.1790650736022543,1.0,0.08761830975565583,0.0015099929307154213,0.15099929307154214
SD,460,MN,SD,USA,57,645.1293022609,0.18045130957207858,1.0,0.24432370945092982,0.0014736859349672015,0.14736859349672016
MA,251,MA,CT,USA,16,636.353627156,0.22484225827517532,1.0,0.3023475054408433,0.0014536394281249147,0.14536394281249146
CO,81,WY,CO,USA,13,636.350637004,0.17170607552135644,1.0,0.0612485305150356,0.001453632597641583,0.1453632597641583
WA,532,WA,OR,USA,26,626.6962648,0.19590761772603835,1.0,0.26496821653199903,0.0014315788597659173,0.14315788597659174
MN,279,MN,IA,USA,67,623.053945104,0.18297020091413255,1.0,0.4157565987684117,0.0014232586125103083,0.14232586125103083
IA,190,MN,IA,USA,67,623.053945104,0.18297020091413255,1.0,0.4157565987684117,0.0014232586125103083,0.14232586125103083
WY,560,WY,CO,USA,36,595.5464909415,0.18713371454254946,1.0,0.1536385833742837,0.0013604226071328353,0.13604226071328354
PA,422,PA,OH,USA,24,570.1700067209999,0.1938949234090855,1.0,0.4320496340073962,0.0013024544327783177,0.13024544327783177
ID,160,ID,UT,USA,20,567.8710686907,0.18775948641079354,1.0,0.22820803705595577,0.0012972029078069033,0.12972029078069033
CT,92,NY,CT,USA,25,567.3200513494,0.2212976033213823,1.0,0.1405196727613955,0.0012959442043145167,0.12959442043145167
UT,491,ID,UT,USA,8,555.409081,0.16938452621484298,1.0,0.0,0.0012687356595868066,0.12687356595868066
MN,279,MN,ND,USA,109,552.4050346168,0.1820896778728728,1.0,0.23056323659441616,0.0012618734369480328,0.12618734369480328
CO,89,CO,NM,USA,42,538.25692495022,0.17611925237123463,1.0,0.28049496180230193,0.0012295545356844526,0.12295545356844527
ID,160,ID,WA,USA,75,534.76552002396,0.19646035827218422,1.0,0.2099603957615967,0.0012215790270304933,0.12215790270304933
RI,441,RI,MA,USA,51,523.1252875490001,0.2610004047311029,1.0,0.1399273760877825,0.0011949889359929612,0.11949889359929612
CA,69,OR,CA,USA,28,521.0031601166099,0.1676581442440157,1.0,0.29214720811643907,0.0011901413041486761,0.11901413041486761
NJ,342,PA,NJ,USA,24,499.7496768,0.26321754408361464,1.0,0.1202959240619297,0.0011415914098515457,0.11415914098515456
OR,419,OR,CA,USA,24,478.84975211661,0.16843388620906538,1.0,0.2804508240887187,0.001093849158895272,0.1093849158895272
KS,202,OK,KS,USA,13,478.38248067999996,0.1559816387531483,1.0,0.2756295144011847,0.0010927817583888451,0.10927817583888451
MD,242,MD,VA,USA,4,477.9655,0.18304760045381718,1.0,0.0,0.001091829238388412,0.10918292383884119
AL,19,TN,AL,USA,44,474.742887179,0.17703260640143478,1.0,0.4154238230283029,0.0010844677386526085,0.10844677386526085
NH,331,NH,MA,USA,26,464.82514076,0.22132560031082263,1.0,0.05916814801480716,0.0010618123680888624,0.10618123680888625
SD,460,WY,SD,USA,24,460.17127750599997,0.16044662221507314,1.0,0.34385758100791003,0.0010511814251187553,0.10511814251187553
TN,479,TN,AL,USA,40,456.70283317900004,0.17856463295216324,1.0,0.4303488984321417,0.0010432583659692122,0.10432583659692123
MA,251,NH,MA,USA,35,455.570513002,0.22758087165620183,1.0,0.11339364757067971,0.001040671777028241,0.1040671777028241
RI,441,RI,CT,USA,28,454.1348615208,0.23462133196702692,1.0,0.28161791997744184,0.0010373922803630846,0.10373922803630846
ID,160,ID,MT,USA,40,440.06636279769003,0.16934041771131716,1.0,0.36457706418513314,0.0010052552364841405,0.10052552364841405
MA,251,RI,MA,USA,45,437.777298362,0.2665828679961325,1.0,0.10200654564290595,0.0010000262660261443,0.10000262660261443
WY,560,WY,MT,USA,45,434.71935189699997,0.18279679536333504,1.0,0.24025176779833626,0.0009930409180043444,0.09930409180043444
MD,242,VA,MD,USA,18,429.9889447,0.22692277213502868,1.0,0.33430535292191615,0.0009822351236799267,0.09822351236799266
KY,219,IN,KY,USA,16,428.0716967,0.1741090175300806,1.0,0.5889856159218924,0.000977855503344062,0.09778555033440621
AL,19,FL,AL,USA,55,416.74629722627003,0.19061670517056578,1.0,0.38725236740109115,0.00095198459366157,0.095198459366157
OH,399,OH,KY,USA,107,413.5509855442,0.18167024501303788,1.0,0.2172144038270876,0.0009446854586397993,0.09446854586397993
MD,242,DC,MD,USA,90,396.80076565580003,0.2770840769736871,1.0,0.19696430860688185,0.0009064224881459244,0.09064224881459244
NM,350,CO,NM,USA,42,396.11295495022,0.17611688565216732,1.0,0.28049496180230193,0.0009048513039520259,0.09048513039520259
DC,111,DC,MD,USA,74,372.4693231686,0.27293524018226656,1.0,0.19541996912334136,0.0008508415302740884,0.08508415302740883
MT,300,WY,MT,USA,42,371.43792355399995,0.1835155466803068,1.0,0.3072924051218554,0.0008484854768441172,0.08484854768441172
MD,249,VA,MD,USA,8,366.059636,0.17615030757291378,1.0,0.3104644986133015,0.0008361997122776001,0.08361997122776
MD,241,PA,MD,USA,35,352.35431675,0.23122974684530295,1.0,0.4392211073448514,0.0008048922888786362,0.08048922888786361
MN,279,MN,SD,USA,56,345.7335170159,0.1819436325637189,1.0,0.29136858283328754,0.0007897682208628388,0.07897682208628388
NY,361,NY,MA,USA,30,328.25730129010003,0.212565359053041,1.0,0.4650509143644361,0.0007498468388680886,0.07498468388680886
