forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,segment
2014-05-01,3,14441958963,14575116640.984592,14618260995.82393,train_fitted_2010_2019
2014-06-01,3,14131294655,14129862305.712698,14143985564.826225,train_fitted_2010_2019
2014-07-01,3,14115471456,14242818506.105103,14065457725.342133,train_fitted_2010_2019
2014-08-01,3,15314135510,15169390992.81974,14907292269.079489,train_fitted_2010_2019
2014-09-01,3,15311949482,15312279521.93667,15286154121.620968,train_fitted_2010_2019
2014-10-01,3,16135798066,15564325118.10355,15752945914.38927,train_fitted_2010_2019
2014-11-01,3,13401732288,13508889904.455685,13553262251.544468,train_fitted_2010_2019
2014-12-01,3,14489462174,14476363938.800434,14483981458.46054,train_fitted_2010_2019
2015-01-01,3,13320512109,13573421343.588367,13314594701.537483,train_fitted_2010_2019
2015-02-01,3,12147033380,12242809140.246012,12275543253.894386,train_fitted_2010_2019
2015-03-01,3,13640767734,13678145065.000622,13598770500.302341,train_fitted_2010_2019
2015-04-01,3,13846694397,13845142108.262512,13812140717.315937,train_fitted_2010_2019
2015-05-01,3,13586956224,13604543669.334734,13573438027.812054,train_fitted_2010_2019
2015-06-01,3,13610916537,13629361056.49205,13735601691.573181,train_fitted_2010_2019
2015-07-01,3,14322958353,14328403744.437353,14322424539.291023,train_fitted_2010_2019
2015-08-01,3,13125503297,13126870636.249348,13141427790.620281,train_fitted_2010_2019
2015-09-01,3,13861045488,13857073146.677069,13858363490.239107,train_fitted_2010_2019
2015-10-01,3,13554712255,13638035111.690317,13607461616.592876,train_fitted_2010_2019
2015-11-01,3,11855356229,11907841244.53857,11975104412.652864,train_fitted_2010_2019
2015-12-01,3,13581128076,13573059939.167017,13585514747.291384,train_fitted_2010_2019
2016-01-01,3,12456584762,12458194110.728855,12489727262.97514,train_fitted_2010_2019
2016-02-01,3,12005416664,12020539690.354242,12057096334.829609,train_fitted_2010_2019
2016-03-01,3,15882037156,14891071027.74492,14973078416.59167,train_fitted_2010_2019
2016-04-01,3,14256086284,13810827087.788136,13969376718.475838,train_fitted_2010_2019
2016-05-01,3,14436541054,13955933420.733446,14104907728.202335,train_fitted_2010_2019
2016-06-01,3,15024868444,14850577538.358646,14968151577.991795,train_fitted_2010_2019
2016-07-01,3,14551800842,14667961273.408487,14562971793.106112,train_fitted_2010_2019
2016-08-01,3,15153544611,15165696926.204786,15302687629.327158,train_fitted_2010_2019
2016-09-01,3,14511045046,14370603896.110815,14380797127.724836,train_fitted_2010_2019
2016-10-01,3,15428124242,15197420279.899109,15093908303.713999,train_fitted_2010_2019
2016-11-01,3,14306893703,14305395265.02325,14289739141.158056,train_fitted_2010_2019
2016-12-01,3,14995700048,15036249998.94095,14976677686.988176,train_fitted_2010_2019
2017-01-01,3,16015322383,15683795558.423136,15658781910.621284,train_fitted_2010_2019
2017-02-01,3,14640813035,14658143873.34851,14691464564.680534,train_fitted_2010_2019
2017-03-01,3,16666647849,16621079110.451609,16673959605.833162,train_fitted_2010_2019
2017-04-01,3,14313490890,14165884739.790169,14195216674.89856,train_fitted_2010_2019
2017-05-01,3,16206726644,15695283484.948101,15743142026.704412,train_fitted_2010_2019
2017-06-01,3,16221936802,15884229960.402683,15582687961.331123,train_fitted_2010_2019
2017-07-01,3,14538702735,14400680462.153515,14539363870.761108,train_fitted_2010_2019
2017-08-01,3,16321024221,16036832993.09386,15800263557.457443,train_fitted_2010_2019
2017-09-01,3,16528007735,16520902384.383366,16518973909.777128,train_fitted_2010_2019
2017-10-01,3,15792710618,15776691633.22447,15773910045.159065,train_fitted_2010_2019
2017-11-01,3,17919251284,17682648739.188236,17716385244.19957,train_fitted_2010_2019
2017-12-01,3,16555913336,16557553476.63249,16560583630.812338,train_fitted_2010_2019
2018-01-01,3,15792705183,15781610395.318497,15766181711.52832,train_fitted_2010_2019
2018-02-01,3,16027285171,16124925002.650724,16096742456.731657,train_fitted_2010_2019
