forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,module1_q50_calibrated
2015-11-01,3,11855356229.0,11907841244.53857,11975104412.652864,23243522150.596214
2015-12-01,3,13581128076.0,13573059939.167015,13585514747.291384,21905860953.27752
2016-01-01,3,12456584762.0,12458194110.728855,12489727262.97514,22816059035.560894
2016-02-01,3,12005416664.0,12020539690.354242,12057096334.829609,23175416891.68776
2016-03-01,3,15882037156.0,14891071027.74492,14973078416.59167,20753303720.3107
2016-04-01,3,14256086284.0,13810827087.788136,13969376718.475838,21587012239.42164
2016-05-01,3,14436541054.0,13955933420.733446,14104907728.202335,21474435606.718117
2016-06-01,3,15024868444.0,14850577538.358646,14968151577.991796,20757396118.799923
2016-07-01,3,14551800842.0,14667961273.408487,14562971793.106112,21093952128.483738
2016-08-01,3,15153544611.0,15165696926.204786,15302687629.327158,20479519179.394928
2016-09-01,3,14511045046.0,14370603896.110815,14380797127.724836,21245272556.435257
2016-10-01,3,15428124242.0,15197420279.899109,15093908303.714,20652938336.406097
2016-11-01,3,14306893703.0,14305395265.02325,14289739141.158056,21320908394.52971
2016-12-01,3,14995700048.0,15036249998.94095,14976677686.988176,20750314044.794777
2017-01-01,3,16015322383.0,15683795558.423136,15658781910.621284,20183735246.301155
2017-02-01,3,14640813035.0,14658143873.34851,14691464564.680534,20987221694.0261
2017-03-01,3,16666647849.0,16621079110.451609,16673959605.833162,19340494376.530426
2017-04-01,3,14313490890.0,14165884739.790169,14195216674.89856,21399421946.43049
2017-05-01,3,16206726644.0,15695283484.9481,15743142026.704412,20113662885.575134
2017-06-01,3,16221936802.0,15884229960.402683,15582687961.331123,20246941449.79278
2017-07-01,3,14538702735.0,14400680462.153517,14539363870.761108,21113561665.87367
2017-08-01,3,16321024221.0,16036832993.09386,15800263557.457443,20066215813.498978
2017-09-01,3,16528007735.0,16520902384.383366,16518973909.777128,19469230728.56093
2017-10-01,3,15792710618.0,15776691633.22447,15773910045.159063,20088105930.605385
2017-11-01,3,17919251284.0,17682648739.188236,17716385244.19957,18474620445.184906
2017-12-01,3,16555913336.0,16557553476.63249,16560583630.812338,19434668289.37207
2018-01-01,3,15792705183.0,15781610395.318497,15766181711.52832,20094525345.45601
2018-02-01,3,16027285171.0,16124925002.650724,16096742456.731655,19819950429.54521
2018-03-01,3,16269499964.0,16308547263.533571,16274341268.640568,19672430859.98546
2018-04-01,3,16735417807.0,16739871488.144367,16747075683.243498,19279761693.966072
2018-05-01,3,18659045468.0,17920569831.308006,17903526568.258274,18319174542.843273
2018-06-01,3,16734974592.0,16588595774.624533,16715082975.059872,19306335917.57473
2018-07-01,3,17091457368.0,16300736567.808878,16558213770.988775,19436636774.956696
2018-08-01,3,17662177999.0,17109344503.136898,17017312091.851822,19055294208.802265
2018-09-01,3,16163468299.0,16109189182.095093,16114175263.392658,19805470151.737
2018-10-01,3,15018312664.0,15059472360.079033,15015162334.8681,20718347396.882645
2018-11-01,3,16089025644.0,16083233023.512447,16191500310.013453,19741241357.23618
2018-12-01,3,17686714202.0,17366736442.46658,17329503251.309395,18795977691.036583
2019-01-01,3,14564220624.0,14587371324.922209,14577521431.637548,21081866707.47029
2019-02-01,3,12938284687.0,12982678865.805378,13067854752.885475,22335846822.73385
2019-03-01,3,16715625564.0,16630281863.024536,16874031867.594995,19174307600.736626
2019-04-01,3,12718876580.0,12739598960.238585,12720135210.133871,22624674415.23227
2019-05-01,3,15572264308.0,15665743929.87932,15585773388.300034,20244378589.97706
2019-06-01,3,15266537991.0,15410965325.124723,15268375483.850813,20508020005.93164
2019-07-01,3,14621505917.0,14988391578.217628,14714302327.091587,20968251877.480736
2019-08-01,3,18700004068.0,18212012275.13803,17765874771.473938,18433512772.8826
2019-09-01,3,15128612959.0,15226095069.772243,15135875675.88012,20618078820.112286
2019-10-01,3,19059604038.0,17184787284.51391,17402633800.93708,18735232987.359863
2019-11-01,3,15102976816.0,15234700923.53128,15201692192.764618,20563409398.980667
2019-12-01,3,18128386618.0,17496407179.370026,17862056848.136864,18353620692.54619
2020-01-01,3,15394419240.0,16495434411.56752,16249523899.16274,19693045004.99929
2020-02-01,3,13340080769.0,15396068359.563969,15298935837.621067,20482635544.260277
2020-03-01,3,20069828156.0,16550376828.730053,16475850907.661802,19505050150.108864
2021-04-01,3,17505916872.0,16080997616.642262,15975507957.52595,19920651897.90746
2021-05-01,3,20882183495.0,14803987184.74302,14542507579.25271,21110950395.457397
2021-06-01,3,21960801156.0,15471730574.976692,15003801509.650108,20727784081.891895
2021-07-01,3,18948651730.0,16702674265.44759,17859271499.527386,18355934297.144817
2021-08-01,3,22797670023.0,14613009710.535534,14933105726.662966,20786506386.190315
2021-09-01,3,20690069970.0,16711115754.797592,16856690297.440607,19188712094.421963
2021-10-01,3,17404362145.0,15091977042.557089,16287148014.601322,19661793144.387672
2021-11-01,3,19612659252.0,16151851788.252594,16545362635.183418,19447311362.25817
2021-12-01,3,22838461230.0,16793885090.138647,16169714210.981876,19759337626.670532
2022-01-01,3,16825969850.0,15945222989.142204,16267716770.285698,19677933391.986412
2022-02-01,3,17926558167.0,15610481142.805365,15654517339.82898,20187277542.78882
2022-03-01,3,24345128144.0,15954726034.117298,16649906563.217064,19360473645.84642
2022-04-01,3,19283273155.0,16860360005.78832,16731476790.410685,19292718661.028923
2022-05-01,3,22462593594.0,19066101623.803436,16783010644.458645,19249912901.88449
2022-06-01,3,25382434138.0,16799920055.329128,17495696399.633274,18657932050.74765
2022-07-01,3,18078761012.0,18026525523.17041,17114983987.755432,18974164634.302773
2022-08-01,3,19109349191.0,18644799107.803345,18666900160.872353,17685090662.52166
2022-09-01,3,22912337265.0,19037875270.261803,17202145151.110153,18901765629.13932
2022-10-01,3,21731214143.0,17253851280.812084,17422103624.81206,18719060694.276535
2022-11-01,3,18903201958.0,18827742207.341908,17841517836.825535,18370681088.813835
2022-12-01,3,18071089869.0,19119877419.564445,17318508764.25917,18805110083.194763
2023-01-01,3,15587939055.0,18467517308.597248,17815087996.570244,18392634606.498367
2023-02-01,3,16188265112.0,18217154009.229683,18108951516.058117,18148541645.299957
2023-03-01,3,18854384035.0,18194669996.860195,17568276662.913166,18597644433.491096
2023-04-01,3,14926679028.0,17472667742.81991,17968497921.498398,18265207143.1705
2023-05-01,3,17582537728.0,17596809644.583954,17931718751.476223,18295757163.59079
2023-06-01,3,17632184717.0,20527241176.767776,19397485248.883114,17078242021.183907
2023-07-01,3,17322727545.0,20082799832.33939,17674545272.192764,18509374138.60489
2023-08-01,3,16330912909.0,21795905058.93682,19057093824.10502,17360982631.469353
2023-09-01,3,17130679988.0,19182653791.42331,17528400284.845062,18630767099.487457
2023-10-01,3,16308621366.0,18221155937.94516,16658303644.824636,19353498746.346855
2023-11-01,3,15719830912.0,17521587758.818977,16095243885.636517,19821195193.294098
2023-12-01,3,16922530187.0,18606214806.4374,17222290953.23234,18885031845.700356
2024-01-01,3,15459241727.0,17556481793.991608,16224896498.01555,19713501355.903664
2024-02-01,3,12976621615.0,17375278273.702732,15928960317.838478,19959315939.05116
2024-03-01,3,18017207600.0,18414249635.048702,17287540631.271236,18830833260.05246
2024-04-01,3,15623948502.0,15887558518.20666,16424758785.108025,19547488992.159748
2024-05-01,3,17156929700.0,18232531371.470665,17836850827.97084,18374557663.94391
2024-06-01,3,19912255337.0,16754729271.475342,16581015749.84142,19417696681.44313
2024-07-01,3,18844751694.0,16369824160.15384,16128505394.82363,19793567060.732563
2024-08-01,3,17975867131.0,15781730189.169847,15826148695.90599,20044714743.526268
2024-09-01,3,23441488042.0,16061108165.415234,16438005600.743498,19536485739.83177
2024-10-01,3,19348491244.0,17353914068.379303,16869911860.83899,19177729817.454723
2024-11-01,3,18598094478.0,15624907581.607864,15747729265.920158,20109852569.80049
2024-12-01,3,21980718113.0,16404592091.964176,17049340113.85913,19028690652.339333
2025-01-01,3,19274866754.0,19121928461.407,19423848439.11696,17056343865.257542
2025-02-01,3,15605625706.0,18190355833.105923,17724266518.157364,18468073992.934803
2025-03-01,3,21265670708.0,19194448012.098717,18899123862.076065,17492197815.576744
2025-04-01,3,16856528907.0,18180516280.079414,17611931444.774887,18561383297.730972
2025-05-01,3,17505528207.0,19725886563.813797,19941909004.721134,16626025267.83918
2025-06-01,3,20406895230.0,19190655122.93557,20255458237.72062,16365580688.336035
2025-07-01,3,16865172291.0,17793155248.02616,17827502343.056286,18382322831.153122
2025-08-01,3,16285611991.0,17559690673.24271,17749084192.87612,18447459594.37755
2025-09-01,3,19071771243.0,19527093551.236145,19906393747.587013,16655525439.54031
2025-10-01,3,18319747459.0,19633983658.18923,19200695753.80106,17241702020.135223
2025-11-01,3,22540004569.0,18809450470.64203,18927127172.046936,17468937320.820335
2025-12-01,3,26263259891.0,20666158769.776413,21205081977.414658,15576791147.360744
2026-01-01,3,,19175220363.914448,19629349505.867752,16885647740.743513
2026-02-01,3,,18081463497.75425,17745944574.23239,18450067467.62809
2026-03-01,3,,19505089032.38168,19249023948.07212,17201558990.236332
2026-04-01,3,,20136986448.36243,19949320290.03479,16619869204.025444
2026-05-01,3,,19723885325.271935,19922501807.55282,16642145541.065443
2026-06-01,3,,20630914017.47571,21059694320.152695,15697555044.303848
2026-07-01,3,,19516428858.08503,19964314239.54862,16607414723.308449
2026-08-01,3,,19966204235.273903,20391820468.220978,16252313615.592676
2026-09-01,3,,19757705566.823685,20322806660.237823,16309638814.66313
2026-10-01,3,,16385762474.861368,17833660025.20616,18377208052.45347
2026-11-01,3,,16324924613.961657,17886749953.412483,18333109765.574326
2026-12-01,3,,15901222733.18143,17675138723.238197,18508881198.129463
2012-07-01,6,13236516471.0,13355824895.944107,13326615621.063805,20204652197.54303
2012-08-01,6,13454126348.0,13462784588.7147,13456285771.249523,20161010625.61268
2012-09-01,6,13136362011.0,13172276070.26196,13188307362.266323,20251200997.06418
2012-10-01,6,13806343142.0,13768269033.950533,13604682239.55427,20111066554.934452
2012-11-01,6,12995830345.0,13067683798.26792,13035235579.278938,20302718583.942757
2012-12-01,6,12979986874.0,13070226010.320747,12978019613.858389,20321975094.91995
2013-01-01,6,13270087181.0,13219499138.44902,13052691553.035912,20296843630.198673
2013-02-01,6,12442104437.0,12430771199.98931,12395666540.087835,20517970885.172512
2013-03-01,6,13934248352.0,13963050192.08668,14042994413.464865,19963548932.426334
2013-04-01,6,13877522014.0,13480892804.538614,13601943191.96032,20111988404.27619
2013-05-01,6,14885665265.0,14407650189.449116,14273274266.09134,19886046324.940224
2013-06-01,6,14063161830.0,14103430006.733335,14084490044.396587,19949583231.303074
2013-07-01,6,14890811919.0,14951835373.716167,14855394222.669886,19690128992.225403
2013-08-01,6,14526726621.0,14537527401.258476,14480753838.035044,19816217342.324783
2013-09-01,6,15218483480.0,14854944904.709356,14606962363.263416,19773740809.18212
2013-10-01,6,15160724733.0,14952383261.24434,14700392632.89429,19742296071.69452
2013-11-01,6,13704923064.0,13722685856.162209,13706366177.58072,20076843976.421303
2013-12-01,6,13322370066.0,13325591411.861454,13245193374.666124,20232055534.53158
2014-01-01,6,12042272680.0,12228449616.721184,12167136965.73024,20594884421.890526
2014-02-01,6,12129411973.0,12299571092.759216,12298009731.214806,20550838099.738216
2014-03-01,6,13642635317.0,13690261845.315804,13649807969.235168,20095879113.761925
2014-04-01,6,14739015105.0,14737760136.90294,14758770614.64237,19722648474.418213
2014-05-01,6,14441958963.0,14491261179.09611,14474614037.28,19818283743.54284
2014-06-01,6,14131294655.0,14112908169.634333,14132677437.923676,19933365361.59492
2014-07-01,6,14115471456.0,14064924603.090973,14003086601.864706,19976980239.693558
2014-08-01,6,15314135510.0,15129846810.170069,15153668189.894484,19589742397.64724
2014-09-01,6,15311949482.0,15319105391.951357,15171402352.002209,19583773817.29054
2014-10-01,6,16135798066.0,15691222193.819798,15325609165.41046,19531874226.44509
2014-11-01,6,13401732288.0,13415569906.358934,13360998843.319332,20193080236.956013
2014-12-01,6,14489462174.0,14454186932.533115,14381834863.485218,19849509349.289455
2015-01-01,6,13320512109.0,13325722992.229576,13320164098.229769,20206823511.429985
2015-02-01,6,12147033380.0,12244512658.360388,12212039383.527657,20579772138.19728
2015-03-01,6,13640767734.0,13670856722.420628,13680344804.245625,20085601686.92371
