month,link_id,lane_direction,from_node,to_node,mode,source,confidence,faf_state,faf_zone,border_state_1,border_state_2,faf_country,faf_stfips,faf_county_name,capacity,unit_cost,transit_days,reliability
2022-01,1003780,BA,FAF_LINK_1003780_B,FAF_LINK_1003780_A,truck,faf5_domestic_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,0.488985,0.16878656809513584,1,0.15036543149514403
2022-01,1003780,BA,FAF_LINK_1003780_B,FAF_LINK_1003780_A,truck,faf5_import_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,0.0526534,0.16524194069138934,1,0.05746859595877252
2022-01,1003782,AB,FAF_LINK_1003782_A,FAF_LINK_1003782_B,truck,faf5_domestic_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,6.01497,0.17835001670831277,1,0.15036543149514403
2022-01,1003782,AB,FAF_LINK_1003782_A,FAF_LINK_1003782_B,truck,faf5_import_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,1.77977,0.10599515667754822,1,0.05746859595877252
2022-01,1003782,BA,FAF_LINK_1003782_B,FAF_LINK_1003782_A,truck,faf5_domestic_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,0.488985,0.16878656809513584,1,0.15036543149514403
2022-01,1003782,BA,FAF_LINK_1003782_B,FAF_LINK_1003782_A,truck,faf5_import_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,0.0526534,0.16524194069138934,1,0.05746859595877252
2022-01,1003784,AB,FAF_LINK_1003784_A,FAF_LINK_1003784_B,truck,faf5_domestic_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,2.48575,0.1608202755707533,1,0.0
2022-01,1003784,AB,FAF_LINK_1003784_A,FAF_LINK_1003784_B,truck,faf5_import_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,0.0615507,0.16149775713355005,1,0.0
2022-01,1003787,AB,FAF_LINK_1003787_A,FAF_LINK_1003787_B,truck,faf5_domestic_2022_observed,high,NE,319,IA,NE,USA,31,DAKOTA,0.550978,0.16845863174210224,1,0.18482595475977692
2022-01,1003787,AB,FAF_LINK_1003787_A,FAF_LINK_1003787_B,truck,faf5_import_2022_observed,high,NE,319,IA,NE,USA,31,DAKOTA,0.0552867,0.1647631347141356,1,0.06073737197796636
